,sample_size,bootstrap,ztest,ttest
0,16,0.91,0.9,0.9
1,32,0.96,0.98,0.98
2,64,0.92,0.91,0.91
3,128,0.92,0.92,0.92
4,256,0.92,0.93,0.93
5,512,0.95,0.96,0.96
6,1024,0.94,0.95,0.95
7,2048,0.93,0.94,0.94
8,4096,0.92,0.93,0.93
9,8192,0.96,0.95,0.95
10,16384,0.92,0.93,0.93
