,sample_size,bootstrap,ztest,ttest
0,16,0.15,0.15,0.15
1,32,0.28,0.28,0.28
2,64,0.45,0.45,0.45
3,128,0.73,0.73,0.73
4,256,0.72,0.93,0.93
5,512,0.91,0.92,0.92
6,1024,0.95,0.99,0.99
7,2048,0.94,0.95,0.95
8,4096,0.96,0.97,0.97
9,8192,0.94,0.94,0.94
10,16384,0.94,0.93,0.93
